;;HDI ;;Life.exp;;Exp.school;;Mean.school;;GNI;;GNI .HDI;
HDI.rank;Country;Value;;(2011 PPP $);;;
1;Norway;0,944;;81,6;;17,5;;12,6;b;64 992;;5;
2;Australia;0,935;;82,4;;20,2;c;13,0;;42 261;;17;
3;Switzerland;0,930;;83,0;;15,8;;12,8;;56 431;;6;
4;Denmark;0,923;;80,2;;18,7;c;12,7;;44 025;;11;
5;Netherlands;0,922;;81,6;;17,9;;11,9;;45 435;;9;
6;Germany;0,916;;80,9;;16,5;;13,1;d;43 919;;11;
6;Ireland;0,916;;80,9;;18,6;c;12,2;e;39 568;;16;
8;United States;0,915;;79,1;;16,5;;12,9;;52 947;;3;
9;Canada;0,913;;82,0;;15,9;;13,0;;42 155;;11;
9;New Zealand;0,913;;81,8;;19,2;c;12,5;b;32 689;;23;
11;Singapore;0,912;;83,0;;15,4;f;10,6;e;76 628;g;-7;
12;Hong Kong, China (SAR);0,910;;84,0;;15,6;;11,2;;53 959;;-2;
13;Liechtenstein;0,908;;80,0;h;15,0;;11,8;i;79 851;g,j;-10;
14;Sweden;0,907;;82,2;;15,8;;12,1;;45 636;;-1;
14;United Kingdom;0,907;;80,7;;16,2;;13,1;d;39 267;;9;
16;Iceland;0,899;;82,6;;19,0;c;10,6;e;35 182;;12;
17;Korea (Republic of);0,898;;81,9;;16,9;;11,9;e;33 890;;13;
18;Israel;0,894;;82,4;;16,0;;12,5;;30 676;;16;
19;Luxembourg;0,892;;81,7;;13,9;;11,7;;58 711;;-11;
20;Japan;0,891;;83,5;;15,3;;11,5;e;36 927;;7;
21;Belgium;0,890;;80,8;;16,3;;11,3;d;41 187;;0;
22;France;0,888;;82,2;;16,0;;11,1;;38 056;;4;
23;Austria;0,885;;81,4;;15,7;;10,8;d;43 869;;-5;
24;Finland;0,883;;80,8;;17,1;;10,3;e;38 695;;0;
25;Slovenia;0,880;;80,4;;16,8;;11,9;;27 852;;12;
26;Spain;0,876;;82,6;;17,3;;9,6;;32 045;;7;
27;Italy;0,873;;83,1;;16,0;;10,1;d;33 030;;4;
28;Czech Republic;0,870;;78,6;;16,4;;12,3;;26 660;;10;
29;Greece;0,865;;80,9;;17,6;;10,3;;24 524;;14;
30;Estonia;0,861;;76,8;;16,5;;12,5;e;25 214;;12;
31;Brunei Darussalam;0,856;;78,8;;14,5;;8,8;e;72 570;k;-26;
32;Cyprus;0,850;;80,2;;14,0;;11,6;;28 633;;3;
32;Qatar;0,850;;78,2;;13,8;l;9,1;;123 124;g;-31;
34;Andorra;0,845;;81,3;h;13,5;f;9,6;m;43 978;n;-18;
35;Slovakia;0,844;;76,3;;15,1;;12,2;d;25 845;;5;
36;Poland;0,843;;77,4;;15,5;;11,8;;23 177;;10;
37;Lithuania;0,839;;73,3;;16,4;;12,4;;24 500;;7;
37;Malta;0,839;;80,6;;14,4;;10,3;;27 930;;-1;
39;Saudi Arabia;0,837;;74,3;;16,3;;8,7;d;52 821;;-27;
40;Argentina;0,836;;76,3;;17,9;;9,8;d;22 050;k;11;
41;United Arab Emirates;0,835;;77,0;;13,3;o;9,5;d;60 868;;-34;
42;Chile;0,832;;81,7;;15,2;;9,8;;21 290;;11;
43;Portugal;0,830;;80,9;;16,3;;8,2;;25 757;;-2;
44;Hungary;0,828;;75,2;;15,4;;11,6;d;22 916;;3;
45;Bahrain;0,824;;76,6;;14,4;p;9,4;b;38 599;;-20;
46;Latvia;0,819;;74,2;;15,2;;11,5;d;22 281;;4;
47;Croatia;0,818;;77,3;;14,8;;11,0;;19 409;;11;
48;Kuwait;0,816;;74,4;;14,7;l;7,2;;83 961;g;-46;
49;Montenegro;0,802;;76,2;;15,2;;11,2;;14 558;;27;
;HIGH HUMAN DEVELOPMENT;;;;;;;;;;;;
50;Belarus;0,798;;71,3;;15,7;;12,0;q;16 676;;14;
50;Russian Federation;0,798;;70,1;;14,7;;12,0;;22 352;;-1;
52;Oman;0,793;;76,8;;13,6;;8,0;;34 858;;-23;
52;Romania;0,793;;74,7;;14,2;;10,8;;18 108;;10;
52;Uruguay;0,793;;77,2;;15,5;;8,5;;19 283;;7;
55;Bahamas;0,790;;75,4;;12,6;r;10,9;;21 336;;-3;
56;Kazakhstan;0,788;;69,4;;15,0;;11,4;e;20 867;;-1;
57;Barbados;0,785;;75,6;;15,4;;10,5;q;12 488;;27;
58;Antigua and Barbuda;0,783;;76,1;;14,0;;9,2;r;20 070;;-1;
59;Bulgaria;0,782;;74,2;;14,4;;10,6;d;15 596;;13;
60;Palau;0,780;;72,7;h;13,7;;12,3;f;13 496;;18;
60;Panama;0,780;;77,6;;13,3;;9,3;;18 192;;1;
62;Malaysia;0,779;;74,7;;12,7;l;10,0;;22 762;;-14;
63;Mauritius;0,777;;74,4;;15,6;;8,5;;17 470;;0;
64;Seychelles;0,772;;73,1;;13,4;;9,4;r;23 300;;-19;
64;Trinidad and Tobago;0,772;;70,4;;12,3;l;10,9;;26 090;;-25;
66;Serbia;0,771;;74,9;;14,4;;10,5;;12 190;;20;
67;Cuba;0,769;s;79,4;;13,8;;11,5;q;7 301;t;47;
67;Lebanon;0,769;;79,3;;13,8;;7,9;l;16 509;;-1;
69;Costa Rica;0,766;;79,4;;13,9;;8,4;;13 413;;10;
69;Iran (Islamic Republic of);0,766;;75,4;;15,1;;8,2;e;15 440;;4;
71;Venezuela (Bolivarian Republic of);0,762;;74,2;;14,2;;8,9;d;16 159;;-2;
72;Turkey;0,761;;75,3;;14,5;;7,6;;18 677;;-12;
73;Sri Lanka;0,757;;74,9;;13,7;;10,8;b;9 779;;29;
74;Mexico;0,756;;76,8;;13,1;;8,5;;16 056;;-4;
75;Brazil;0,755;;74,5;;15,2;u;7,7;;15 175;;-1;
76;Georgia;0,754;;74,9;;13,8;;12,1;q;7 164;;40;
77;Saint Kitts and Nevis;0,752;;73,8;h;12,9;;8,4;r;20 805;;-21;
78;Azerbaijan;0,751;;70,8;;11,9;;11,2;l;16 428;;-11;
79;Grenada;0,750;;73,4;;15,8;;8,6;r;10 939;;14;
80;Jordan;0,748;;74,0;;13,5;;9,9;;11 365;;11;
81;The former Yugoslav Republic of Macedonia;0,747;;75,4;;13,4;;9,3;q;11 780;;9;
81;Ukraine;0,747;;71,0;;15,1;;11,3;e;8 178;;25;
83;Algeria;0,736;;74,8;;14,0;;7,6;;13 054;;-1;
84;Peru;0,734;;74,6;;13,1;;9,0;;11 015;;8;
85;Albania;0,733;;77,8;;11,8;l;9,3;;9 943;;14;
85;Armenia;0,733;;74,7;;12,3;;10,9;e;8 124;;22;
85;Bosnia and Herzegovina;0,733;;76,5;;13,6;;8,3;v;9 638;;19;
88;Ecuador;0,732;;75,9;;14,2;;7,6;;10 605;;7;
89;Saint Lucia;0,729;;75,1;;12,6;;9,3;q;9 765;;14;
90;China;0,727;;75,8;;13,1;;7,5;b;12 547;;-7;
90;Fiji;0,727;;70,0;;15,7;l;9,9;;7 493;;21;
90;Mongolia;0,727;;69,4;;14,6;;9,3;e;10 729;;4;
93;Thailand;0,726;;74,4;;13,5;;7,3;;13 323;;-13;
94;Dominica;0,724;;77,8;h;12,7;w;7,9;r;9 994;;4;
94;Libya;0,724;;71,6;;14,0;l;7,3;e;14 911;k,x;-19;
96;Tunisia;0,721;;74,8;;14,6;;6,8;q;10 404;;1;
97;Colombia;0,720;;74,0;;13,5;;7,3;d;12 040;;-9;
97;Saint Vincent and the Grenadines;0,720;;72,9;;13,4;l;8,6;r;9 937;;3;
99;Jamaica;0,719;;75,7;;12,4;;9,7;e;7 415;;13;
100;Tonga;0,717;;72,8;;14,7;;10,7;e;5 069;;32;
101;Belize;0,715;;70,0;;13,6;;10,5;;7 614;;9;
101;Dominican Republic;0,715;;73,5;;13,1;;7,6;;11 883;;-12;
103;Suriname;0,714;;71,1;;12,7;l;7,7;y;15 617;;-32;
104;Maldives;0,706;;76,8;;13,0;l;5,8;z;12 328;;-19;
105;Samoa;0,702;;73,4;;12,9;f;10,3;f;5 327;;24;
;MEDIUM HUMAN DEVELOPMENT;;;;;;;;;;;;
106;Botswana;0,698;;64,5;;12,5;;8,9;e;16 646;;-41;
107;Moldova (Republic of);0,693;;71,6;;11,9;;11,2;;5 223;;23;
108;Egypt;0,690;;71,1;;13,5;;6,6;e;10 512;;-12;
109;Turkmenistan;0,688;;65,6;;10,8;;9,9;r;13 066;;-28;
110;Gabon;0,684;;64,4;;12,5;l;7,8;y;16 367;;-42;
110;Indonesia;0,684;;68,9;;13,0;;7,6;z;9 788;;-9;
112;Paraguay;0,679;;72,9;;11,9;;7,7;b;7 643;;-3;
113;Palestine, State of;0,677;;72,9;;13,0;;8,9;;4 699;x;21;
114;Uzbekistan;0,675;;68,4;;11,5;;10,9;aa;5 567;;10;
115;Philippines;0,668;;68,2;;11,3;;8,9;d;7 915;;-7;
116;El Salvador;0,666;;73,0;;12,3;;6,5;;7 349;;-3;
116;South Africa;0,666;;57,4;;13,6;;9,9;;12 122;;-29;
116;Viet Nam;0,666;;75,8;;11,9;w;7,5;e;5 092;;15;
119;Bolivia (Plurinational State of);0,662;;68,3;;13,2;;8,2;;5 760;;4;
120;Kyrgyzstan;0,655;;70,6;;12,5;;10,6;;3 044;;29;
121;Iraq;0,654;;69,4;;10,1;;6,4;e;14 003;;-44;
122;Cabo Verde;0,646;;73,3;;13,5;;4,7;r;6 094;;-1;
123;Micronesia (Federated States of);0,640;;69,1;;11,7;;9,7;f;3 432;;21;
124;Guyana;0,636;;66,4;;10,3;;8,5;e;6 522;;-4;
125;Nicaragua;0,631;;74,9;;11,5;l;6,0;e;4 457;;12;
126;Morocco;0,628;;74,0;;11,6;;4,4;b;6 850;;-8;
126;Namibia;0,628;;64,8;;11,3;;6,2;e;9 418;;-21;
128;Guatemala;0,627;;71,8;;10,7;;5,6;;6 929;;-11;
129;Tajikistan;0,624;;69,4;;11,2;;10,4;y;2 517;;27;
130;India;0,609;;68,0;;11,7;;5,4;e;5 497;;-4;
131;Honduras;0,606;;73,1;;11,1;;5,5;;3 938;;7;
132;Bhutan;0,605;;69,5;;12,6;;3,0;q;7 176;;-17;
133;Timor-Leste;0,595;;68,2;;11,7;;4,4;y;5 363;ab;-6;
134;Syrian Arab Republic;0,594;;69,6;;12,3;;6,3;e;2 728;k,x;21;
134;Vanuatu;0,594;;71,9;;10,6;l;6,8;aa;2 803;;19;
136;Congo;0,591;;62,3;;11,1;;6,1;b;6 012;;-14;
137;Kiribati;0,590;;66,0;;12,3;;7,8;r;2 434;;21;
138;Equatorial Guinea;0,587;;57,6;;9,0;l;5,5;y;21 056;;-84;
139;Zambia;0,586;;60,1;;13,5;;6,6;e;3 734;;2;
140;Ghana;0,579;;61,4;;11,5;;7,0;;3 852;;-1;
141;Lao People's Democratic Republic;0,575;;66,2;;10,6;;5,0;q;4 680;;-6;
142;Bangladesh;0,570;;71,6;;10,0;;5,1;e;3 191;;5;
143;Cambodia;0,555;;68,4;;10,9;;4,4;y;2 949;;7;
143;Sao Tome and Principe;0,555;;66,5;;11,3;;4,7;y;2 918;;8;
;LOW HUMAN DEVELOPMENT;;;;;;;;;;;;
145;Kenya;0,548;;61,6;;11,0;;6,3;b;2 762;;9;
145;Nepal;0,548;;69,6;;12,4;;3,3;e;2 311;;16;
147;Pakistan;0,538;;66,2;;7,8;;4,7;;4 866;;-14;
148;Myanmar;0,536;;65,9;;8,6;;4,1;e;4 608;k;-12;
149;Angola;0,532;;52,3;;11,4;;4,7;y;6 822;;-30;
150;Swaziland;0,531;;49,0;;11,3;;7,1;b;5 542;;-25;
151;Tanzania (United Republic of);0,521;;65,0;;9,2;;5,1;e;2 411;;8;
152;Nigeria;0,514;;52,8;;9,0;l;5,9;y;5 341;;-24;
153;Cameroon;0,512;;55,5;;10,4;;6,0;e;2 803;;-1;
154;Madagascar;0,510;;65,1;;10,3;;6,0;q;1 328;;24;
155;Zimbabwe;0,509;;57,5;;10,9;;7,3;e;1 615;;13;
156;Mauritania;0,506;;63,1;;8,5;;3,8;e;3 560;;-14;
156;Solomon Islands;0,506;;67,9;;9,2;;5,0;f;1 540;;16;
158;Papua New Guinea;0,505;;62,6;;9,9;r;4,0;e;2 463;;-1;
159;Comoros;0,503;;63,3;;11,5;;4,6;y;1 456;;16;
160;Yemen;0,498;;63,8;;9,2;;2,6;e;3 519;;-17;
161;Lesotho;0,497;;49,8;;11,1;;5,9;z;3 306;;-16;
162;Togo;0,484;;59,7;;12,2;;4,5;y;1 228;;17;
163;Haiti;0,483;;62,8;;8,7;r;4,9;y;1 669;;4;
163;Rwanda;0,483;;64,2;;10,3;;3,7;;1 458;;11;
163;Uganda;0,483;;58,5;;9,8;;5,4;e;1 613;;6;
166;Benin;0,480;;59,6;;11,1;;3,3;e;1 767;;0;
167;Sudan;0,479;;63,5;;7,0;;3,1;b;3 809;;-27;
168;Djibouti;0,470;;62,0;;6,4;;3,8;q;3 276;k;-22;
169;South Sudan;0,467;;55,7;;7,6;r;5,4;;2 332;;-9;
170;Senegal;0,466;;66,5;;7,9;;2,5;;2 188;;-8;
171;Afghanistan;0,465;;60,4;;9,3;;3,2;e;1 885;;-7;
172;Côte d'Ivoire;0,462;;51,5;;8,9;;4,3;b;3 171;;-24;
173;Malawi;0,445;;62,8;;10,8;;4,3;e;747;;13;
174;Ethiopia;0,442;;64,1;;8,5;;2,4;;1 428;;2;
175;Gambia;0,441;;60,2;;8,8;;2,8;e;1 507;;-2;
176;Congo (Democratic Republic of the);0,433;;58,7;;9,8;;6,0;;680;;11;
177;Liberia;0,430;;60,9;;9,5;l;4,1;e;805;;7;
178;Guinea-Bissau;0,420;;55,2;;9,0;;2,8;r;1 362;;-1;
179;Mali;0,419;;58,0;;8,4;;2,0;;1 583;;-8;
180;Mozambique;0,416;;55,1;;9,3;;3,2;y;1 123;;1;
181;Sierra Leone;0,413;;50,9;;8,6;l;3,1;e;1 780;;-16;
182;Guinea;0,411;;58,8;;8,7;;2,4;y;1 096;;0;
183;Burkina Faso;0,402;;58,7;;7,8;;1,4;y;1 591;;-13;
184;Burundi;0,400;;56,7;;10,1;;2,7;e;758;;1;
185;Chad;0,392;;51,6;;7,4;;1,9;;2 085;;-22;
186;Eritrea;0,391;;63,7;;4,1;;3,9;r;1 130;;-6;
187;Central African Republic;0,350;;50,7;;7,2;;4,2;q;581;;1;
188;Niger;0,348;;61,4;;5,4;;1,5;e;908;;-5;
;OTHER COUNTRIES OR TERRITORIES;;;;;;;;;;;;
;Korea (Democratic People's Rep. of);..;;70,3;;..;;..;;..;;..;
;Marshall Islands;..;;..;;..;;..;;4 674;;..;
;Monaco;..;;..;;..;;..;;..;;..;
;Nauru;..;;..;;9,3;;..;;..;;..;
;San Marino;..;;..;;..;;..;;..;;..;
;Somalia;..;;55,4;;..;;..;;..;;..;
;Tuvalu;..;;..;;..;;..;;5 278;;..;
;;;;;;;;;;;;;
;Human development groups;;;;;;;;;;;;
;Very high human development;0,896;;80,5;;16,4;;11,8;;41 584;;—;
;High human development;0,744;;75,1;;13,6;;8,2;;13 961;;—;
;Medium human development;0,630;;68,6;;11,8;;6,2;;6 353;;—;
;Low human development;0,505;;60,6;;9,0;;4,5;;3 085;;—;
;;;;;;;;;;;;;
;Developing countries;0,660;;69,8;;11,7;;6,8;;9 071;;—;
;;;;;;;;;;;;;
;Regions;;;;;;;;;;;;
;Arab States;0,686;;70,6;;12,0;;6,4;;15 722;;—;
;East Asia and the Pacific;0,710;;74,0;;12,7;;7,5;;11 449;;—;
;Europe and Central Asia;0,748;;72,3;;13,6;;10,0;;12 791;;—;
;Latin America and the Caribbean;0,748;;75,0;;14,0;;8,2;;14 242;;—;
;South Asia;0,607;;68,4;;11,2;;5,5;;5 605;;—;
;Sub-Saharan Africa;0,518;;58,5;;9,6;;5,2;;3 363;;—;
;;;;;;;;;;;;;
;Least developed countries;0,502;;63,3;;9,3;;4,1;;2 387;;—;
;Small island developing states;0,660;;70,1;;11,4;;7,9;;6 991;;—;
;;;;;;;;;;;;;
;Organisation for Economic Co-operation and Development;0,880;;80,2;;15,8;;11,5;;37 658;;—;
;;;;;;;;;;;;;
;World;0,711;;71,5;;12,2;;7,9;;14 301;;—;
;;;;;;;;;;;;;
;Notes;;;;;;;;;;;;
;a. Data refer to 2014 or the most recent year available.;;;;;;;;;;;;
;b. Based on Barro and Lee (2013b).;;;;;;;;;;;;
;c. For the purpose of calculating the HDI value, expected years of schooling is capped at 18 years.;;;;;;;;;;;;
;d. Updated by HDRO based on data from UNESCO Institute for Statistics (2015) and Barro and Lee (2014).;;;;;;;;;;;;
;e. Based on Barro and Lee (2014).;;;;;;;;;;;;
;f. Based on data from the national statistical office.;;;;;;;;;;;;
;g. For the purpose of calculating the HDI value, GNI per capita is capped at $75,000.;;;;;;;;;;;;
;h. Value from UNDESA (2011).;;;;;;;;;;;;
;i. Calculated as the average of mean years of schooling for Austria and Switzerland.;;;;;;;;;;;;
;j. Estimated using the purchasing power parity (PPP) rate and projected growth rate of Switzerland.;;;;;;;;;;;;
;k. HDRO estimate based on data from World Bank (2015a) and United Nations Statistics Division (2015).;;;;;;;;;;;;
;l. Updated by HDRO based on data from UNESCO Institute for Statistics (2015).;;;;;;;;;;;;
;m. Assumes the same adult mean years of schooling as Spain.;;;;;;;;;;;;
;n. Estimated using the PPP rate and projected growth rate of Spain.;;;;;;;;;;;;
;o. Based on data from UNESCO Institute for Statistics (2011).;;;;;;;;;;;;
;p. Based on data on school life expectancy from UNESCO Institute for Statistics (2013).;;;;;;;;;;;;
;q. Based on data from United Nations Children's Fund (UNICEF) Multiple Indicator Cluster Surveys for 2005–2014.;;;;;;;;;;;;
;r. Based on cross-country regression.;;;;;;;;;;;;
;s. The 2013 HDI value published in the 2014 Human Development Report was based on miscalculated GNI per capita in 2011 PPP dollars, as published in the World Bank (2014). A more realistic value, based on the model developed by HDRO and verified and accepted by Cuba’s National Statistics Office, is $7,222. The corresponding 2013 HDI value is 0.759 and the rank is 69th.;;;;;;;;;;;;
;t. Based on a cross-country regression model and projected growth rates from ECLAC (2014).;;;;;;;;;;;;
;"u. HDRO calculations based on data from National Institute for Educational Studies of 
Brazil (2013).";;;;;;;;;;;;
;x. Based on projected growth rates from UNESCWA (2014).;;;;;;;;;;;;
;v. Updated by HDRO based on data from UNESCO Institute for Statistics (2015) and a UNICEF Multiple Indicator Cluster Survey.;;;;;;;;;;;;
;w. Based on data on school life expectancy from UNESCO Institute for Statistics (2012).;;;;;;;;;;;;
;y. Based on data from ICF Macro Demographic and Health Surveys for 2005–2014.;;;;;;;;;;;;
;z. Updated by HDRO based on data from UNESCO Institute for Statistics (2015), an ICF Macro Demographic and Health Survey and Barro and Lee (2014).;;;;;;;;;;;;
;aa. Updated by HDRO based on data from a UNICEF Multiple Indicator Cluster Survey.;;;;;;;;;;;;
;ab. Based on data from Timor-Leste Ministry of Finance (2015).;;;;;;;;;;;;
;;;;;;;;;;;;;
;Definitions;;;;;;;;;;;;
;Human Development Index (HDI): A composite index measuring average achievement in three basic dimensions of human development—a long and healthy life, knowledge and a decent standard of living. See Technical note 1 at http://hdr.undp.org/en for details on how the HDI is calculated.;;;;;;;;;;;;
;Life expectancy at birth: Number of years a newborn infant could expect to live if prevailing patterns of age-specific mortality rates at the time of birth stay the same throughout the infant’s life.;;;;;;;;;;;;
;Expected years of schooling: Number of years of schooling that a child of school entrance age can expect to receive if prevailing patterns of age-specific enrolment rates persist throughout the child’s life.;;;;;;;;;;;;
;Mean years of schooling: Average number of years of education received by people ages 25 and older, converted from education attainment levels using official durations of each level.;;;;;;;;;;;;
;Gross national income (GNI) per capita: Aggregate income of an economy generated by its production and its ownership of factors of production, less the incomes paid for the use of factors of production owned by the rest of the world, converted to international dollars using PPP rates, divided by midyear population.;;;;;;;;;;;;
;;;;;;;;;;;;;
;Main data sources;;;;;;;;;;;;
;Column 1: HDRO calculations based on data from UNDESA (2015), UNESCO Institute for Statistics (2015), United Nations Statistics Division (2015), World Bank (2015a), Barro and Lee (2014) and IMF (2015).;;;;;;;;;;;;
;Column 2: UNDESA (2015). ;;;;;;;;;;;;
;Column 3: UNESCO Institute for Statistics (2015). ;;;;;;;;;;;;
;Column 4: UNESCO Institute for Statistics (2015), Barro and Lee (2014), UNICEF Multiple Indicator Cluster Surveys and ICF Macro Demographic and Health Surveys.;;;;;;;;;;;;
;Column 5: World Bank (2015a), IMF (2015) and United Nations Statistics Division (2015).;;;;;;;;;;;;
;Column 6: Calculated based on data in columns 1 and 5.;;;;;;;;;;;;
;;;;;;;;;;;;;
